Y,X,id,obstimeJST,type
36.699,139.71,nowc_20240807070000_20240807070000_liden_124,2024/08/07 15:57:23.640,1
40.178,140.862,nowc_20240807070000_20240807070000_liden_125,2024/08/07 15:57:24.260,0
36.015,138.914,nowc_20240807070000_20240807070000_liden_126,2024/08/07 15:57:24.920,0
35.769,138.578,nowc_20240807070000_20240807070000_liden_127,2024/08/07 15:57:25.550,0
36.637,139.716,nowc_20240807070000_20240807070000_liden_128,2024/08/07 15:57:30.660,1
35.682,138.644,nowc_20240807070000_20240807070000_liden_129,2024/08/07 15:57:31.370,1
35.031,138.094,nowc_20240807070000_20240807070000_liden_130,2024/08/07 15:57:31.810,0
35.113,138.045,nowc_20240807070000_20240807070000_liden_131,2024/08/07 15:57:31.810,0
35.031,138.087,nowc_20240807070000_20240807070000_liden_132,2024/08/07 15:57:31.810,0
35.101,138.014,nowc_20240807070000_20240807070000_liden_133,2024/08/07 15:57:31.810,0
35.758,138.614,nowc_20240807070000_20240807070000_liden_134,2024/08/07 15:57:32.710,0
35.732,138.667,nowc_20240807070000_20240807070000_liden_135,2024/08/07 15:57:34.140,0
40.112,140.796,nowc_20240807070000_20240807070000_liden_136,2024/08/07 15:57:38.260,0
35.729,138.662,nowc_20240807070000_20240807070000_liden_137,2024/08/07 15:57:40.110,0
36.705,139.707,nowc_20240807070000_20240807070000_liden_138,2024/08/07 15:57:40.940,1
36.501,139.553,nowc_20240807070000_20240807070000_liden_139,2024/08/07 15:57:43.130,0
36.651,139.732,nowc_20240807070000_20240807070000_liden_140,2024/08/07 15:57:45.530,1
36.504,139.576,nowc_20240807070000_20240807070000_liden_141,2024/08/07 15:57:45.640,0
36.721,139.807,nowc_20240807070000_20240807070000_liden_142,2024/08/07 15:57:45.820,0
35.559,138.635,nowc_20240807070000_20240807070000_liden_143,2024/08/07 15:57:45.940,1
36.673,139.797,nowc_20240807070000_20240807070000_liden_144,2024/08/07 15:57:45.990,0
36.48,139.633,nowc_20240807070000_20240807070000_liden_145,2024/08/07 15:57:47.520,1
36.478,139.692,nowc_20240807070000_20240807070000_liden_146,2024/08/07 15:57:51.520,0
36.541,139.665,nowc_20240807070000_20240807070000_liden_147,2024/08/07 15:57:51.580,0
